Name,Team,Minutes Played,PER
b'Steven Adams',b'OKC',b'1564',b'20.8'
b'Bam Adebayo',b'MIA',b'2235',b'20.6'
b'LaMarcus Aldridge',b'SAS',b'1754',b'19.8'
b'Nickeil Alexander-Walker',b'NOP',b'501',b'7.6'
b'Grayson Allen',b'MEM',b'498',b'11.4'
b'Jarrett Allen',b'BRK',b'1647',b'20.3'
b'Kadeem Allen',b'NYK',b'117',b'14.0'
b'Al-Farouq Aminu',b'ORL',b'380',b'7.6'
b'Justin Anderson',b'BRK',b'17',b'-3.8'
b'Kyle Anderson',b'MEM',b'1140',b'13.0'
b'Ryan Anderson',b'HOU',b'14',b'9.5'
b'Giannis Antetokounmpo',b'MIL',b'1763',b'31.6'
b'Kostas Antetokounmpo',b'LAL',b'5',b'8.6'
b'Thanasis Antetokounmpo',b'MIL',b'93',b'14.2'
b'Carmelo Anthony',b'POR',b'1623',b'12.2'
b'OG Anunoby',b'TOR',b'1897',b'13.2'
b'Ryan Arcidiacono',b'CHI',b'930',b'9.0'
b'Trevor Ariza',b'TOT',b'1493',b'11.0'
b'Trevor Ariza',b'SAC',b'791',b'9.4'
b'Trevor Ariza',b'POR',b'702',b'12.8'
b'D.J. Augustin',b'ORL',b'1215',b'14.2'
b'Deandre Ayton',b'PHO',b'996',b'20.4'

b'Dwayne Bacon',b'CHO',b'687',b'6.1'
b'Marvin Bagley III',b'SAC',b'334',b'15.7'
b'Lonzo Ball',b'NOP',b'1817',b'13.7'
b'Mo Bamba',b'ORL',b'868',b'17.8'
b'J.J. Barea',b'DAL',b'391',b'14.9'
b'Harrison Barnes',b'SAC',b'2231',b'13.3'
b'RJ Barrett',b'NYK',b'1704',b'10.7'
b'Will Barton',b'DEN',b'1916',b'15.7'
b'Keita Bates-Diop',b'TOT',b'665',b'12.6'
b'Keita Bates-Diop',b'MIN',b'646',b'12.5'
b'Keita Bates-Diop',b'DEN',b'19',b'15.8'
b'Nicolas Batum',b'CHO',b'505',b'9.2'
b'Aron Baynes',b'PHO',b'934',b'15.1'
b'Kent Bazemore',b'TOT',b'1604',b'9.2'
b'Kent Bazemore',b'POR',b'1111',b'7.6'
b'Kent Bazemore',b'SAC',b'493',b'13.0'
b'Darius Bazley',b'OKC',b'909',b'8.1'
b'Bradley Beal',b'WAS',b'2053',b'23.1'
b'Malik Beasley',b'TOT',b'1209',b'12.7'
b'Malik Beasley',b'DEN',b'746',b'10.5'
b'Malik Beasley',b'MIN',b'463',b'16.2'
b'Marco Belinelli',b'SAS',b'779',b'10.2'
b'Jordan Bell',b'TOT',b'256',b'13.9'
b'Jordan Bell',b'MIN',b'235',b'14.1'
b'Jordan Bell',b'MEM',b'21',b'12.6'
"b""DeAndre' Bembry""",b'ATL',b'915',b'9.6'
b'Dragan Bender',b'TOT',b'286',b'11.0'
b'Dragan Bender',b'MIL',b'91',b'8.5'
b'Dragan Bender',b'GSW',b'195',b'12.1'
b'D\xc4\x81vis Bert\xc4\x81ns',b'WAS',b'1583',b'15.5'

b'Patrick Beverley',b'LAC',b'1299',b'12.3'
b'Khem Birch',b'ORL',b'777',b'10.1'
b'Goga Bitadze',b'IND',b'410',b'12.2'
b'Bismack Biyombo',b'CHO',b'1029',b'16.1'
b'Nemanja Bjelica',b'SAC',b'1821',b'15.6'
b'Eric Bledsoe',b'MIL',b'1524',b'18.1'
b'Bogdan Bogdanovi\xc4\x87',b'SAC',b'1510',b'14.3'
b'Bojan Bogdanovi\xc4\x87',b'UTA',b'2083',b'15.7'
b'Jonah Bolden',b'TOT',b'47',b'4.9'
b'Jonah Bolden',b'PHI',b'14',b'-2.0'
b'Jonah Bolden',b'PHO',b'33',b'7.9'
b'Marques Bolden',b'CLE',b'3',b'19.8'
b'Jordan Bone',b'DET',b'53',b'0.8'
b'Isaac Bonga',b'WAS',b'1025',b'10.7'
b'Devin Booker',b'PHO',b'2241',b'19.8'
b'Chris Boucher',b'TOR',b'724',b'19.8'
b'Brian Bowen',b'IND',b'29',b'-2.0'
b'Ky Bowman',b'GSW',b'1015',b'9.2'
b'Avery Bradley',b'LAL',b'1186',b'8.9'
b'Tony Bradley',b'UTA',b'535',b'21.8'
b'Jarrell Brantley',b'UTA',b'13',b'2.7'
b'Ignas Brazdeikis',b'NYK',b'53',b'3.3'

b'Mikal Bridges',b'PHO',b'1772',b'13.0'
b'Miles Bridges',b'CHO',b'1995',b'12.1'
b'Oshae Brissett',b'TOR',b'135',b'6.7'
b'Ryan Broekhoff',b'DAL',b'180',b'13.1'
b'Malcolm Brogdon',b'IND',b'1472',b'17.8'
b'Dillon Brooks',b'MEM',b'1851',b'11.1'
b'Bruce Brown',b'DET',b'1634',b'11.9'
b'Charlie Brown',b'ATL',b'40',b'11.1'
b'Jaylen Brown',b'BOS',b'1702',b'17.1'
b'Moses Brown',b'POR',b'33',b'6.7'
b'Sterling Brown',b'MIL',b'665',b'9.3'
b'Troy Brown Jr.',b'WAS',b'1519',b'13.7'
b'Jalen Brunson',b'DAL',b'1022',b'15.0'
b'Thomas Bryant',b'WAS',b'901',b'20.0'
b'Reggie Bullock',b'NYK',b'684',b'9.3'
b'Trey Burke',b'PHI',b'329',b'15.4'
b'Alec Burks',b'TOT',b'1612',b'16.0'
b'Alec Burks',b'GSW',b'1390',b'16.1'
b'Alec Burks',b'PHI',b'222',b'14.9'
b'Deonte Burton',b'OKC',b'284',b'5.9'
b'Jimmy Butler',b'MIA',b'1851',b'23.4'
b'Bruno Caboclo',b'TOT',b'220',b'13.4'
b'Bruno Caboclo',b'MEM',b'192',b'11.9'
b'Bruno Caboclo',b'HOU',b'28',b'23.6'

b'Kentavious Caldwell-Pope',b'LAL',b'1603',b'11.6'
b'Vlatko \xc4\x8can\xc4\x8dar',b'DEN',b'45',b'11.4'
b'Clint Capela',b'HOU',b'1279',b'20.7'
b'DeMarre Carroll',b'TOT',b'231',b'8.5'
b'DeMarre Carroll',b'SAS',b'135',b'5.0'
b'DeMarre Carroll',b'HOU',b'96',b'13.5'
b'Jevon Carter',b'PHO',b'754',b'10.4'
b'Vince Carter',b'ATL',b'876',b'7.6'
b'Wendell Carter Jr.',b'CHI',b'1256',b'15.5'
b'Michael Carter-Williams',b'ORL',b'773',b'15.7'
b'Alex Caruso',b'LAL',b'1032',b'11.0'
b'Willie Cauley-Stein',b'TOT',b'1097',b'17.0'
b'Willie Cauley-Stein',b'GSW',b'940',b'16.2'
b'Willie Cauley-Stein',b'DAL',b'157',b'22.3'
b'Tyson Chandler',b'HOU',b'219',b'10.8'
b'Wilson Chandler',b'BRK',b'734',b'7.4'
b'Joe Chealey',b'CHO',b'33',b'-2.8'
b'Zylan Cheatham',b'NOP',b'31',b'0.1'
b'Chris Chiozza',b'TOT',b'249',b'12.9'
b'Chris Chiozza',b'WAS',b'123',b'9.2'
b'Chris Chiozza',b'BRK',b'126',b'16.5'
b'Marquese Chriss',b'GSW',b'1196',b'19.4'
b'Gary Clark',b'TOT',b'425',b'10.3'
b'Gary Clark',b'HOU',b'212',b'11.9'
b'Gary Clark',b'ORL',b'213',b'8.8'
b'Brandon Clarke',b'MEM',b'1086',b'21.8'
b'Jordan Clarkson',b'TOT',b'1527',b'17.9'
b'Jordan Clarkson',b'CLE',b'666',b'18.6'
b'Jordan Clarkson',b'UTA',b'861',b'17.4'
b'Nicolas Claxton',b'BRK',b'187',b'14.9'

b'Chris Clemons',b'HOU',b'251',b'12.6'
b'Antonius Cleveland',b'DAL',b'22',b'2.9'
b'Amir Coffey',b'LAC',b'98',b'5.9'
b'John Collins',b'ATL',b'1363',b'23.5'
b'Zach Collins',b'POR',b'86',b'9.0'
b'Mike Conley',b'UTA',b'1171',b'13.7'
b'Pat Connaughton',b'MIL',b'1119',b'11.2'
b'Quinn Cook',b'LAL',b'409',b'10.5'
b'Tyler Cook',b'CLE',b'35',b'23.8'
b'Robert Covington',b'TOT',b'1867',b'13.6'
b'Robert Covington',b'MIN',b'1411',b'13.5'
b'Robert Covington',b'HOU',b'456',b'14.1'
b'Allen Crabbe',b'TOT',b'653',b'6.0'
b'Allen Crabbe',b'ATL',b'522',b'7.2'
b'Allen Crabbe',b'MIN',b'131',b'1.1'
b'Torrey Craig',b'DEN',b'869',b'10.4'
b'Jae Crowder',b'TOT',b'1695',b'12.1'
b'Jae Crowder',b'MEM',b'1322',b'11.0'
b'Jae Crowder',b'MIA',b'373',b'16.0'
b'Jarrett Culver',b'MIN',b'1506',b'9.6'
b'Seth Curry',b'DAL',b'1448',b'16.2'
b'Stephen Curry',b'GSW',b'139',b'21.7'
b'Troy Daniels',b'TOT',b'457',b'8.9'
b'Troy Daniels',b'LAL',b'456',b'9.0'
b'Troy Daniels',b'DEN',b'1',b'-40.8'
b'Anthony Davis',b'LAL',b'1889',b'28.2'
b'Ed Davis',b'UTA',b'268',b'7.3'
b'Terence Davis',b'TOR',b'1087',b'14.5'

b'Dewayne Dedmon',b'TOT',b'774',b'9.4'
b'Dewayne Dedmon',b'SAC',b'541',b'8.5'
b'Dewayne Dedmon',b'ATL',b'233',b'11.4'
b'Matthew Dellavedova',b'CLE',b'821',b'8.1'
b'DeMar DeRozan',b'SAS',b'2091',b'21.3'
b'Cheick Diallo',b'PHO',b'467',b'16.3'
b'Hamidou Diallo',b'OKC',b'699',b'8.4'
b'Gorgui Dieng',b'TOT',b'1012',b'17.4'
b'Gorgui Dieng',b'MIN',b'778',b'17.8'
b'Gorgui Dieng',b'MEM',b'234',b'16.2'
b'Spencer Dinwiddie',b'BRK',b'1994',b'17.9'
b'Donte DiVincenzo',b'MIL',b'1362',b'15.0'
b'Luka Don\xc4\x8di\xc4\x87',b'DAL',b'1799',b'27.7'
b'Luguentz Dort',b'OKC',b'637',b'7.3'
b'Damyean Dotson',b'NYK',b'836',b'10.9'
b'Sekou Doumbouya',b'DET',b'754',b'6.2'
b'PJ Dozier',b'DEN',b'234',b'9.3'
b'Goran Dragi\xc4\x87',b'MIA',b'1531',b'15.9'
b'Andre Drummond',b'TOT',b'1879',b'22.0'
b'Andre Drummond',b'DET',b'1654',b'22.1'
b'Andre Drummond',b'CLE',b'225',b'21.1'
b'Jared Dudley',b'LAL',b'311',b'7.4'
b'Kris Dunn',b'CHI',b'1269',b'12.1'
b'Carsen Edwards',b'BOS',b'316',b'6.5'
b'Henry Ellenson',b'BRK',b'15',b'-1.2'
b'Wayne Ellington',b'NYK',b'558',b'8.5'

b'Joel Embiid',b'PHI',b'1329',b'26.0'
b'James Ennis',b'TOT',b'1053',b'11.5'
b'James Ennis',b'PHI',b'776',b'12.3'
b'James Ennis',b'ORL',b'277',b'9.4'
b'Drew Eubanks',b'SAS',b'130',b'15.3'
b'Jacob Evans',b'TOT',b'418',b'5.5'
b'Jacob Evans',b'GSW',b'414',b'5.7'
b'Jacob Evans',b'MIN',b'4',b'-9.6'
b'Dante Exum',b'TOT',b'485',b'10.4'
b'Dante Exum',b'UTA',b'83',b'4.8'
b'Dante Exum',b'CLE',b'402',b'11.5'
b'Tacko Fall',b'BOS',b'24',b'23.9'
b'Derrick Favors',b'NOP',b'1089',b'19.0'
b'Cristiano Fel\xc3\xadcio',b'CHI',b'386',b'12.8'
b'Terrance Ferguson',b'OKC',b'1170',b'4.1'
b'Bruno Fernando',b'ATL',b'713',b'11.9'
b'Yogi Ferrell',b'SAC',b'484',b'10.7'
b'Dorian Finney-Smith',b'DAL',b'1898',b'12.2'
b'Bryn Forbes',b'SAS',b'1579',b'11.2'
b'Evan Fournier',b'ORL',b'1931',b'16.7'
"b""De'Aaron Fox""",b'SAC',b'1426',b'20.3'
b'Melvin Frazier',b'ORL',b'51',b'7.5'
b'Michael Frazier',b'HOU',b'66',b'2.4'
b'Tim Frazier',b'DET',b'355',b'9.8'
b'Markelle Fultz',b'ORL',b'1813',b'14.4'
b'Wenyen Gabriel',b'TOT',b'210',b'9.6'
b'Wenyen Gabriel',b'SAC',b'61',b'7.5'
b'Wenyen Gabriel',b'POR',b'149',b'10.5'

b'Daniel Gafford',b'CHI',b'609',b'16.2'
b'Danilo Gallinari',b'OKC',b'1690',b'19.4'
b'Langston Galloway',b'DET',b'1702',b'12.3'
b'Darius Garland',b'CLE',b'1824',b'8.5'
b'Marc Gasol',b'TOR',b'990',b'11.9'
b'Rudy Gay',b'SAS',b'1287',b'14.4'
b'Paul George',b'LAC',b'1222',b'20.5'
b'Taj Gibson',b'NYK',b'1025',b'16.1'
b'Harry Giles',b'SAC',b'579',b'16.3'
b'Shai Gilgeous-Alexander',b'OKC',b'2214',b'17.8'
b'Rudy Gobert',b'UTA',b'2142',b'21.7'
b'Brandon Goodwin',b'ATL',b'430',b'11.7'
b'Aaron Gordon',b'ORL',b'1914',b'14.8'
b'Eric Gordon',b'HOU',b'972',b'10.5'
"b""Devonte' Graham""",b'CHO',b'2211',b'15.8'
b'Treveon Graham',b'TOT',b'929',b'6.6'
b'Treveon Graham',b'MIN',b'663',b'6.0'
b'Treveon Graham',b'ATL',b'266',b'8.0'
b'Jerami Grant',b'DEN',b'1676',b'14.2'
b'Josh Gray',b'NOP',b'23',b'-5.0'
b'Danny Green',b'LAL',b'1529',b'11.1'
b'Draymond Green',b'GSW',b'1222',b'12.6'

b'JaMychal Green',b'LAC',b'1130',b'10.8'
b'Javonte Green',b'BOS',b'414',b'12.3'
b'Jeff Green',b'TOT',b'754',b'12.8'
b'Jeff Green',b'UTA',b'553',b'10.1'
b'Jeff Green',b'HOU',b'201',b'20.0'
b'Blake Griffin',b'DET',b'512',b'11.9'
b'Marko Guduric',b'MEM',b'476',b'8.8'
b'Kyle Guy',b'SAC',b'4',b'9.8'
b'Rui Hachimura',b'WAS',b'1217',b'13.9'
b'Devon Hall',b'OKC',b'20',b'3.6'
b'Donta Hall',b'DET',b'48',b'7.3'
b'Dusty Hannahs',b'MEM',b'13',b'21.3'
b'Tim Hardaway Jr.',b'DAL',b'1815',b'15.0'
b'James Harden',b'HOU',b'2241',b'28.4'
b'Maurice Harkless',b'TOT',b'1427',b'9.7'
b'Maurice Harkless',b'LAC',b'1141',b'9.6'
b'Maurice Harkless',b'NYK',b'286',b'10.1'
b'Jared Harper',b'PHO',b'8',b'-5.3'
b'Montrezl Harrell',b'LAC',b'1749',b'23.1'
b'Gary Harris',b'DEN',b'1780',b'9.7'
b'Joe Harris',b'BRK',b'1946',b'12.7'
b'Tobias Harris',b'PHI',b'2243',b'16.8'
b'Shaquille Harrison',b'CHI',b'484',b'17.8'
b'Josh Hart',b'NOP',b'1563',b'11.7'

b'Isaiah Hartenstein',b'HOU',b'266',b'18.7'
b'Udonis Haslem',b'MIA',b'21',b'3.0'
b'Jaxson Hayes',b'NOP',b'951',b'17.8'
b'Gordon Hayward',b'BOS',b'1501',b'18.2'
b'John Henson',b'TOT',b'600',b'17.0'
b'John Henson',b'CLE',b'412',b'16.9'
b'John Henson',b'DET',b'188',b'17.1'
b'Dewan Hernandez',b'TOR',b'11',b'4.2'
b'Juan Hernang\xc3\xb3mez',b'TOT',b'833',b'10.4'
b'Juan Hernang\xc3\xb3mez',b'DEN',b'422',b'6.9'
b'Juan Hernang\xc3\xb3mez',b'MIN',b'411',b'14.1'
b'Willy Hernang\xc3\xb3mez',b'CHO',b'375',b'19.2'
b'Tyler Herro',b'MIA',b'1280',b'11.4'
b'Kevin Hervey',b'OKC',b'19',b'-14.9'
b'Mario Hezonja',b'POR',b'767',b'9.5'
b'Buddy Hield',b'SAC',b'2045',b'16.3'
b'George Hill',b'MIL',b'1103',b'17.5'
b'Solomon Hill',b'TOT',b'992',b'9.8'
b'Solomon Hill',b'MEM',b'901',b'10.2'
b'Solomon Hill',b'MIA',b'91',b'5.9'
b'Jaylen Hoard',b'POR',b'103',b'14.9'
b'Aaron Holiday',b'IND',b'1368',b'11.7'
b'Jrue Holiday',b'NOP',b'1922',b'17.5'
b'Justin Holiday',b'IND',b'1617',b'12.7'
b'Rondae Hollis-Jefferson',b'TOR',b'998',b'15.5'
b'Richaun Holmes',b'SAC',b'1125',b'20.5'

b'Rodney Hood',b'POR',b'619',b'12.2'
b'Al Horford',b'PHI',b'1848',b'15.6'
b'Talen Horton-Tucker',b'LAL',b'5',b'14.8'
b'Danuel House',b'HOU',b'1739',b'11.4'
b'Dwight Howard',b'LAL',b'1193',b'18.7'
b'William Howard',b'HOU',b'13',b'-12.7'
b'Kevin Huerter',b'ATL',b'1760',b'11.5'
"b""De'Andre Hunter""",b'ATL',b'2018',b'8.6'
b'Chandler Hutchison',b'CHI',b'527',b'12.4'
b'Serge Ibaka',b'TOR',b'1377',b'18.0'
b'Andre Iguodala',b'MIA',b'259',b'11.0'
b'Ersan \xc4\xb0lyasova',b'MIL',b'895',b'15.2'
b'Joe Ingles',b'UTA',b'1916',b'12.5'
b'Brandon Ingram',b'NOP',b'1919',b'19.2'
b'Kyrie Irving',b'BRK',b'658',b'26.3'
b'Jonathan Isaac',b'ORL',b'949',b'16.9'
b'Wesley Iwundu',b'ORL',b'810',b'9.9'
b'Frank Jackson',b'NOP',b'656',b'7.7'
b'Jaren Jackson Jr.',b'MEM',b'1512',b'16.1'
b'Josh Jackson',b'MEM',b'357',b'14.0'

b'Justin Jackson',b'DAL',b'929',b'10.0'
b'Reggie Jackson',b'TOT',b'556',b'15.0'
b'Reggie Jackson',b'DET',b'381',b'14.8'
b'Reggie Jackson',b'LAC',b'175',b'15.6'
b'Justin James',b'SAC',b'218',b'11.5'
b'LeBron James',b'LAL',b'2094',b'26.0'
b'Amile Jefferson',b'ORL',b'74',b'8.9'
b'DaQuan Jeffries',b'SAC',b'19',b'10.7'
b'Ty Jerome',b'PHO',b'315',b'8.1'
b'Alize Johnson',b'IND',b'54',b'10.8'
